,0,1,2,3
0,5.7,2.9,4.2,1.3
1,7.6,3.0,6.6,2.1
2,5.6,3.0,4.5,1.5
3,5.1,3.5,1.4,0.2
4,7.7,2.8,6.7,2.0
5,5.8,2.7,4.1,1.0
6,5.2,3.4,1.4,0.2
7,5.0,3.5,1.3,0.3
8,5.1,3.8,1.9,0.4
9,5.0,2.0,3.5,1.0
10,6.3,2.7,4.9,1.8
11,4.8,3.4,1.9,0.2
12,5.0,3.0,1.6,0.2
13,5.1,3.3,1.7,0.5
14,5.6,2.7,4.2,1.3
15,5.1,3.4,1.5,0.2
16,5.7,3.0,4.2,1.2
17,7.7,3.8,6.7,2.2
18,4.6,3.2,1.4,0.2
19,6.2,2.9,4.3,1.3
20,5.7,2.5,5.0,2.0
21,5.5,4.2,1.4,0.2
22,6.0,3.0,4.8,1.8
23,5.8,2.7,5.1,1.9
24,6.0,2.2,4.0,1.0
25,5.4,3.0,4.5,1.5
26,6.2,3.4,5.4,2.3
27,5.5,2.3,4.0,1.3
28,5.4,3.9,1.7,0.4
29,5.0,2.3,3.3,1.0
30,6.4,2.7,5.3,1.9
31,5.0,3.3,1.4,0.2
32,5.0,3.2,1.2,0.2
33,5.5,2.4,3.8,1.1
34,6.7,3.0,5.0,1.7
35,4.9,3.1,1.5,0.2
36,5.8,2.8,5.1,2.4
37,5.0,3.4,1.5,0.2
38,5.0,3.5,1.6,0.6
39,5.9,3.2,4.8,1.8
40,5.1,2.5,3.0,1.1
41,6.9,3.2,5.7,2.3
42,6.0,2.7,5.1,1.6
43,6.1,2.6,5.6,1.4
44,7.7,3.0,6.1,2.3
45,5.5,2.5,4.0,1.3
46,4.4,2.9,1.4,0.2
47,4.3,3.0,1.1,0.1
48,6.0,2.2,5.0,1.5
49,7.2,3.2,6.0,1.8
50,4.6,3.1,1.5,0.2
51,5.1,3.5,1.4,0.3
52,4.4,3.0,1.3,0.2
53,6.3,2.5,4.9,1.5
54,6.3,3.4,5.6,2.4
55,4.6,3.4,1.4,0.3
56,6.8,3.0,5.5,2.1
57,6.3,3.3,6.0,2.5
58,4.7,3.2,1.3,0.2
59,6.1,2.9,4.7,1.4
60,6.5,2.8,4.6,1.5
61,6.2,2.8,4.8,1.8
62,7.0,3.2,4.7,1.4
63,6.4,3.2,5.3,2.3
64,5.1,3.8,1.6,0.2
65,6.9,3.1,5.4,2.1
66,5.9,3.0,4.2,1.5
67,6.5,3.0,5.2,2.0
68,5.7,2.6,3.5,1.0
69,5.2,2.7,3.9,1.4
70,6.1,3.0,4.6,1.4
71,4.5,2.3,1.3,0.3
72,6.6,2.9,4.6,1.3
73,5.5,2.6,4.4,1.2
74,5.3,3.7,1.5,0.2
75,5.6,3.0,4.1,1.3
76,7.3,2.9,6.3,1.8
77,6.7,3.3,5.7,2.1
78,5.1,3.7,1.5,0.4
79,4.9,2.4,3.3,1.0
80,6.7,3.3,5.7,2.5
81,7.2,3.0,5.8,1.6
82,4.9,3.6,1.4,0.1
83,6.7,3.1,5.6,2.4
84,4.9,3.0,1.4,0.2
85,6.9,3.1,4.9,1.5
86,7.4,2.8,6.1,1.9
87,6.3,2.9,5.6,1.8
88,5.7,2.8,4.1,1.3
89,6.5,3.0,5.5,1.8
90,6.3,2.3,4.4,1.3
91,6.4,2.9,4.3,1.3
92,5.6,2.8,4.9,2.0
93,5.9,3.0,5.1,1.8
94,5.4,3.4,1.7,0.2
95,6.1,2.8,4.0,1.3
96,4.9,2.5,4.5,1.7
97,5.8,4.0,1.2,0.2
98,5.8,2.6,4.0,1.2
99,7.1,3.0,5.9,2.1
